USER_ID,PLAY_DATE,MATCHES_STARTED,MATCHES_COMPLETED,MATCHES_WON
af7e7516c1461849470a9ad7ecce39fb060b89da,16/09/23 00:00,10,10,0
aceb82993c1780cb502543c1907c9209ac3cb546,22/09/23 00:00,0,0,0
79a090d714db5fd6d7b085802fb0093c418f60aa,23/09/23 00:00,3,2,0
c16de3984f877a157da471699111b15d2bb71039,12/10/23 00:00,1,1,0
67f539b8dfea05fb9cf556654665ceb706dca80f,02/11/23 00:00,4,4,0
389799fa16fa6f0cedde2de78578cea5fc4ed535,14/11/23 00:00,2,2,0
2f7413eb4140b53dc16102781fdc93a5e688f991,14/11/23 00:00,11,10,0
8ce82d506fa6be863d53ae248bf0a828965d8b6c,29/11/23 00:00,3,3,0
0cd22f9cb159fe6257092d853c993bce687aad00,03/12/23 00:00,1,1,0
9ff6aa961ab6dd84b7577cee25e5c85ba67780e9,08/12/23 00:00,1,1,0
e8ff93db553c620948d08239db8f4bf8f065cc87,10/12/23 00:00,5,4,0
bedb2d1bf75bc782c9ffed08da27f890c24f6b90,20/01/24 00:00,0,0,0
49324fd5f7d8dd1a561585c366d19b8a25782fb4,29/01/24 00:00,0,0,0
99e0373571b35dc51d6127822573bb5c378fb929,15/02/24 00:00,6,6,0
4e4bd0a14f478799a74d4a2c847a940c8e048bfa,26/02/24 00:00,5,4,0
d8ba8f8efcfa9e1a83494f127d9a5e6b84c50da8,29/02/24 00:00,10,10,1
a50fb3731e63995057193904eab208de97db9647,19/03/24 00:00,2,2,0
5f99a177a2d40776d7dc28ed85febe917cf21921,19/03/24 00:00,3,2,0
632ce7d11249741f5ed6d5101e54a62570cc71a4,24/04/24 00:00,2,1,0
aee700d71a365dc97715b3bef895662a45c3632c,01/07/24 00:00,8,8,1
bf408ea33e1f0b0b7f3f79386089e54d1ca61c03,11/07/24 00:00,2,0,0
f0dde23952135b0f7e7f5f206949706767836d61,12/07/24 00:00,2,2,0
460f70fd4ad4eb66f530f5162764f556c1e61424,19/07/24 00:00,5,5,0
